,RankTHE,Name,No. of FTE students,No. of students per staff,International Students,Female:Male Ratio,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
1283,1201-1500,Lahore College for Women University (LCWU),"10,457",17.7,0%,100 : 0,18.4–24.3,22.8,8.8,27.5,36.9,28.7
1284,1201-1500,University of Lethbridge,"7,172",13.3,11%,,18.4–24.3,17.0,13.7,20.5,37.0,57.1
1285,1201-1500,L.N. Gumilyov Eurasian National University,"19,358",14.1,4%,57 : 43,18.4–24.3,18.1,10.9,24.4,37.0,53.3
1286,1201-1500,University of Lucknow,"17,291",39.2,0%,50 : 50,18.4–24.3,30.3,10.3,20.7,37.4,18.1
1287,1201-1500,"Lumière University, Lyon 2","25,186",47.2,18%,68 : 32,18.4–24.3,22.4,18.4,8.7,37.3,61.0
1288,1201-1500,University of Malaga,"35,888",13.8,6%,54 : 46,18.4–24.3,17.2,14.6,30.8,39.8,39.1
1289,1201-1500,Universiti Malaysia Kelantan,"8,787",20.1,3%,71 : 29,18.4–24.3,14.7,11.6,23.9,39.4,33.5
1290,1201-1500,Universiti Malaysia Sarawak (UNIMAS),"13,956",17.9,7%,73 : 27,18.4–24.3,22.9,11.8,16.2,37.9,45.7
1291,1201-1500,University of Maribor,"12,403",14.3,10%,53 : 47,18.4–24.3,17.2,17.4,28.3,42.5,43.5
1292,1201-1500,Marmara University,"62,414",30.6,6%,51 : 49,18.4–24.3,18.3,10.0,24.1,40.4,26.3
1293,1201-1500,Mendel University in Brno,"8,886",16.5,20%,57 : 43,18.4–24.3,19.0,17.6,18.1,37.7,55.7
1294,1201-1500,Metropolitan Autonomous University,"59,709",21.1,1%,50 : 50,18.4–24.3,17.3,17.5,31.6,38.1,25.8
1295,1201-1500,Mie University,"7,125",8.4,4%,38 : 62,18.4–24.3,22.4,12.7,19.0,44.9,23.8
1296,1201-1500,Ming Chi University of Technology,"4,514",19.5,2%,26 : 74,18.4–24.3,16.4,19.8,29.4,53.3,25.6
1297,1201-1500,Mohammed V University of Rabat,"88,644",43.3,3%,52 : 48,18.4–24.3,30.4,13.3,17.4,45.4,27.9
1298,1201-1500,University of Monastir,"19,203",9.6,2%,70 : 30,18.4–24.3,19.6,10.0,26.5,36.9,45.1
1299,1201-1500,University of Mumbai,"13,330",23.5,1%,51 : 49,18.4–24.3,29.6,19.9,16.1,38.0,16.7
1300,1201-1500,University of Mysore,"7,970",21.4,10%,42 : 58,18.4–24.3,31.3,8.6,20.8,37.3,34.5
1301,1201-1500,Nagaoka University of Technology,"2,189",11.1,12%,10 : 90,18.4–24.3,25.0,15.7,9.1,47.3,36.5
1302,1201-1500,Nagasaki University,"8,869",6.7,6%,39 : 61,18.4–24.3,24.2,13.0,22.1,43.9,36.1
1303,1201-1500,Nagoya City University,"4,514",7.5,4%,48 : 52,18.4–24.3,24.5,15.8,24.1,51.2,21.7
1304,1201-1500,National Chengchi University,"12,489",14.8,13%,57 : 43,18.4–24.3,23.9,28.3,11.0,44.4,47.6
1305,1201-1500,National Chin-Yi University of Technology,"7,294",23.2,5%,30 : 70,18.4–24.3,15.2,23.6,13.6,46.4,24.1
1306,1201-1500,National Chung Cheng University,"8,650",15.4,4%,44 : 56,18.4–24.3,20.4,18.7,13.3,43.2,24.9
1307,1201-1500,National Chung Hsing University,"15,150",16.8,7%,41 : 59,18.4–24.3,21.5,21.0,17.2,51.3,31.8
1308,1201-1500,National University of Distance Education (UNED),"66,141",56.9,5%,54 : 46,18.4–24.3,17.8,18.5,21.9,38.2,29.5
1309,1201-1500,National Dong Hwa University,"10,008",17.8,8%,52 : 48,18.4–24.3,17.3,21.7,22.9,40.9,45.7
1310,1201-1500,National Technical University Kharkiv Polytechnic Institute,"11,413",7.9,13%,32 : 68,18.4–24.3,20.8,9.1,15.8,38.2,30.0
1311,1201-1500,National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,"21,170",8.0,3%,30 : 70,18.4–24.3,21.2,10.0,27.8,37.7,21.2
1312,1201-1500,Nicolaus Copernicus University in Toruń,"19,684",13.0,4%,67 : 33,18.4–24.3,19.3,19.0,30.3,38.3,30.5
1313,1201-1500,University of Nigeria Nsukka,"43,108",11.4,1%,46 : 54,18.4–24.3,25.0,10.2,32.2,37.6,30.0
1314,1201-1500,Slovak University of Agriculture in Nitra,"4,870",11.3,3%,52 : 48,18.4–24.3,19.8,12.5,20.4,38.3,48.3
1315,1201-1500,University of North Carolina Wilmington,"15,940",19.1,2%,64 : 36,18.4–24.3,18.5,8.1,32.4,37.3,30.0
1316,1201-1500,North China Electric Power University,"37,861",19.1,3%,36 : 64,18.4–24.3,18.5,19.9,29.3,66.8,18.7
1317,1201-1500,"University of the North, Colombia","13,991",19.0,1%,51 : 49,18.4–24.3,17.3,12.5,21.1,39.8,51.6
1318,1201-1500,Obafemi Awolowo University,"29,939",23.3,0%,41 : 59,18.4–24.3,19.6,12.3,26.1,36.9,33.9
1319,1201-1500,Oles Honchar Dnipro National University,"9,522",12.1,1%,60 : 40,18.4–24.3,17.3,8.6,3.9,37.2,20.9
1320,1201-1500,Opole University of Technology,"5,604",14.5,7%,33 : 67,18.4–24.3,16.2,13.0,24.9,37.8,29.3
1321,1201-1500,Oran 1 University,"25,775",19.2,1%,66 : 34,18.4–24.3,30.4,8.3,22.2,37.6,39.5
1322,1201-1500,Osaka Metropolitan University,"15,827",11.5,5%,37 : 63,18.4–24.3,23.7,17.0,17.8,47.3,24.2
1323,1201-1500,Osmania University,"10,814",23.7,3%,32 : 68,18.4–24.3,32.4,13.9,16.8,40.7,18.1
1324,1201-1500,University of Ostrava,"8,492",16.4,11%,69 : 31,18.4–24.3,18.5,15.1,16.2,37.1,46.0
1325,1201-1500,University of Pannonia,"5,351",17.3,6%,49 : 51,18.4–24.3,18.0,14.6,17.5,39.1,39.5
1326,1201-1500,Paris Nanterre University,"34,972",37.4,17%,63 : 37,18.4–24.3,24.8,21.0,14.0,37.1,55.1
1327,1201-1500,University of Pau and Pays de l’Adour,"14,186",14.5,14%,52 : 48,18.4–24.3,18.5,11.3,23.9,41.6,71.6
1328,1201-1500,Universitas Pendidikan Indonesia,"32,320",20.1,1%,64 : 36,18.4–24.3,20.0,10.7,26.0,37.4,18.4
1329,1201-1500,Persian Gulf University,"5,070",21.3,3%,55 : 45,18.4–24.3,15.7,13.4,38.6,48.5,28.3
1330,1201-1500,Pontifical Catholic University of Valparaíso,"17,703",26.6,1%,43 : 57,18.4–24.3,16.6,18.1,21.4,47.4,50.0
1331,1201-1500,Pontifícia Universidade Católica do Paraná,"12,301",14.7,1%,55 : 45,18.4–24.3,23.2,13.5,34.2,39.3,26.7
1332,1201-1500,Poznan University of Medical Sciences,"7,495",6.0,14%,72 : 28,18.4–24.3,22.1,12.2,30.7,46.7,35.3
1333,1201-1500,Poznan University of Technology,"14,502",11.6,4%,33 : 67,18.4–24.3,18.9,12.7,26.6,40.0,22.2
1334,1201-1500,University of Primorska,"6,089",16.6,15%,76 : 24,18.4–24.3,15.8,14.2,16.3,38.1,68.0
1335,1201-1500,Prince of Songkla University,"32,779",13.0,2%,70 : 30,18.4–24.3,18.8,13.6,18.9,51.2,33.1
1336,1201-1500,Qassim University,"42,159",10.2,6%,62 : 38,18.4–24.3,20.1,8.7,26.4,40.2,76.7
1337,1201-1500,Riga Technical University,"10,745",33.4,21%,33 : 67,18.4–24.3,22.7,22.0,14.8,62.6,60.9
1338,1201-1500,Ritsumeikan University,"34,906",17.3,10%,37 : 63,18.4–24.3,18.9,13.0,16.9,39.3,40.1
1339,1201-1500,University of the Ryukyus,"7,534",9.9,2%,39 : 61,18.4–24.3,20.7,12.6,16.9,45.4,33.2
1340,1201-1500,Saga University,"6,577",9.9,3%,41 : 59,18.4–24.3,22.4,12.7,17.3,49.1,23.6
1341,1201-1500,Université Saint-Joseph de Beyrouth,"7,906",11.3,6%,62 : 38,18.4–24.3,21.9,10.1,18.7,40.1,69.2
1342,1201-1500,Saitama Medical University,"1,908",1.4,0%,51 : 49,18.4–24.3,23.7,9.0,38.7,40.3,16.2
1343,1201-1500,Sapporo Medical University,"1,299",3.2,0%,45 : 55,18.4–24.3,25.4,11.3,25.5,41.0,15.9
1344,1201-1500,SASTRA University,"9,945",13.8,1%,45 : 55,18.4–24.3,17.7,10.4,43.2,44.6,19.4
1345,1201-1500,Sathyabama Institute of Science and Technology,"12,971",12.1,5%,48 : 52,18.4–24.3,22.7,9.9,24.7,37.5,23.8
1346,1201-1500,Universitas Sebelas Maret,"28,398",18.3,1%,64 : 36,18.4–24.3,17.9,17.3,23.6,70.8,25.8
1347,1201-1500,Selçuk University,"36,084",19.6,7%,55 : 45,18.4–24.3,17.9,13.0,32.5,78.0,28.6
1348,1201-1500,Semnan University,"15,415",13.7,1%,50 : 50,18.4–24.3,17.9,11.1,40.7,37.4,19.6
1349,1201-1500,University of Seoul,"9,759",17.5,4%,40 : 60,18.4–24.3,22.6,21.1,26.1,40.9,26.4
1350,1201-1500,Seoul National University of Science and Technology (SeoulTech),"9,526",14.9,8%,36 : 64,18.4–24.3,23.2,17.7,17.0,43.0,26.1
1351,1201-1500,University of Sfax,"29,118",12.9,2%,68 : 32,18.4–24.3,25.2,14.0,22.6,37.3,43.6
1352,1201-1500,Shahed University,"5,501",16.8,0%,48 : 52,18.4–24.3,27.3,14.2,17.6,40.8,16.2
1353,1201-1500,Shahid Bahonar University of Kerman,"14,509",23.8,1%,60 : 40,18.4–24.3,19.8,13.7,29.7,43.0,21.5
1354,1201-1500,​Shahid Chamran University of Ahvaz,"15,096",25.6,4%,58 : 42,18.4–24.3,22.1,17.2,22.5,79.3,22.3
1355,1201-1500,Shahid Rajaee Teacher Training University,"9,060",38.1,0%,31 : 69,18.4–24.3,17.4,15.0,26.3,46.3,23.8
1356,1201-1500,University of Shanghai for Science and Technology,"25,884",9.7,2%,41 : 59,18.4–24.3,18.9,10.5,26.7,50.4,21.8
1357,1201-1500,Shibaura Institute of Technology,"9,007",27.9,6%,18 : 82,18.4–24.3,19.1,17.4,11.8,42.6,38.8
1358,1201-1500,Shiga University of Medical Science,"1,160",3.1,3%,49 : 51,18.4–24.3,27.3,11.3,29.4,44.8,21.6
1359,1201-1500,Shinshu University,"10,603",10.4,3%,32 : 68,18.4–24.3,21.5,14.9,24.3,42.4,27.1
1360,1201-1500,Showa University,"3,662",1.6,0%,60 : 40,18.4–24.3,29.5,9.0,30.5,39.0,17.7
1361,1201-1500,Sofia University,"22,490",6.5,6%,65 : 35,18.4–24.3,25.0,11.1,16.4,37.8,39.0
1362,1201-1500,Soonchunhyang University,"11,543",19.2,4%,49 : 51,18.4–24.3,17.8,19.4,24.1,38.2,28.5
1363,1201-1500,Soongsil University,"16,142",19.8,10%,47 : 53,18.4–24.3,24.4,12.5,13.4,38.5,30.9
1364,1201-1500,Université Sorbonne Nouvelle,"16,698",24.0,29%,77 : 23,18.4–24.3,31.7,12.0,7.4,36.9,72.1
1365,1201-1500,University of Sousse,"25,602",13.4,2%,68 : 32,18.4–24.3,23.4,9.4,24.1,36.9,40.1
1366,1201-1500,Sri Venkateswara University,"7,248",14.6,0%,45 : 55,18.4–24.3,36.6,10.4,21.4,37.3,23.6
1367,1201-1500,SRM Institute of Science and Technology,"50,680",15.1,2%,28 : 72,18.4–24.3,18.6,10.4,34.4,37.2,20.9
1368,1201-1500,Staffordshire University,"10,050",17.5,13%,49 : 51,18.4–24.3,17.7,11.4,33.8,37.0,56.4
1369,1201-1500,State University of Malang,"36,741",35.6,4%,61 : 39,18.4–24.3,19.4,10.5,35.8,36.9,23.2
1370,1201-1500,University of Talca,"11,372",12.5,1%,51 : 49,18.4–24.3,17.0,11.9,25.3,38.3,52.3
1371,1201-1500,Tamkang University,"23,207",22.9,7%,48 : 52,18.4–24.3,15.8,12.7,23.7,38.6,39.9
1372,1201-1500,University of Tarapacá,"9,758",30.2,3%,54 : 46,18.4–24.3,14.7,18.2,23.6,37.2,52.6
1373,1201-1500,Taras Shevchenko National University of Kyiv,"23,857",10.0,5%,57 : 43,18.4–24.3,23.6,12.9,10.8,37.5,30.4
1374,1201-1500,Technical University of Košice,"9,348",12.3,20%,27 : 73,18.4–24.3,21.3,15.8,12.5,40.4,44.8
1375,1201-1500,Technological University of Pereira,"17,968",18.4,0%,43 : 57,18.4–24.3,14.8,7.8,31.4,38.0,31.5
1376,1201-1500,University of Technology of Compiègne,"4,269",15.9,21%,38 : 62,18.4–24.3,22.5,10.8,20.2,41.4,81.1
1377,1201-1500,University of Technology of Troyes,"3,189",19.4,23%,24 : 76,18.4–24.3,23.5,11.0,22.3,42.0,69.4
1378,1201-1500,Teikyo University,"22,937",15.9,5%,36 : 64,18.4–24.3,15.7,11.1,44.9,38.7,22.7
1379,1201-1500,Universiti Teknikal Malaysia Melaka,"11,716",16.3,7%,40 : 60,18.4–24.3,16.1,11.4,22.0,37.5,39.4
1380,1201-1500,Institut Teknologi Sepuluh Nopember,"17,893",10.6,3%,40 : 60,18.4–24.3,19.5,12.3,17.3,49.1,41.6
1381,1201-1500,Texas State University,"31,639",19.3,1%,59 : 41,18.4–24.3,19.1,16.2,31.1,39.8,35.0
1382,1201-1500,Tezpur University,"4,028",15.0,1%,41 : 59,18.4–24.3,27.5,18.1,22.1,37.9,16.0
1383,1201-1500,Thammasat University,"30,995",11.7,1%,64 : 36,18.4–24.3,21.9,17.0,11.9,43.6,33.0
1384,1201-1500,The John Paul II Catholic University of Lublin,"10,070",10.7,9%,62 : 38,18.4–24.3,25.9,12.0,30.4,37.1,30.8
1385,1201-1500,TOBB University of Economics and Technology,"4,822",12.8,1%,47 : 53,18.4–24.3,19.0,11.4,30.3,39.0,27.6
1386,1201-1500,Toho University,"5,421",13.4,0%,53 : 47,18.4–24.3,21.0,15.0,22.4,41.9,19.3
1387,1201-1500,Tokai University,"28,334",15.8,4%,27 : 73,18.4–24.3,16.7,11.0,26.2,37.0,26.4
1388,1201-1500,Tokat Gaziosmanpaşa University,"19,358",14.6,11%,50 : 50,18.4–24.3,15.7,8.0,30.5,37.3,28.5
1389,1201-1500,Tokushima University,"7,508",9.6,3%,36 : 64,18.4–24.3,23.7,22.8,12.4,62.0,24.4
1390,1201-1500,Tokyo University of Agriculture and Technology,"5,686",15.2,6%,32 : 68,18.4–24.3,27.6,25.2,12.0,53.0,31.2
1391,1201-1500,Tokyo University of Marine Science and Technology,"2,595",10.5,8%,33 : 67,18.4–24.3,24.6,15.1,14.3,48.2,36.8
1392,1201-1500,Tokyo University of Science,"18,091",24.3,3%,25 : 75,18.4–24.3,22.3,24.4,11.3,47.2,24.5
1393,1201-1500,Tomas Bata University in Zlín,"9,129",19.6,10%,56 : 44,18.4–24.3,16.9,19.4,16.8,40.2,49.1
1394,1201-1500,University of Toyama,"8,988",12.0,3%,39 : 61,18.4–24.3,22.2,15.0,25.4,47.6,29.3
1395,1201-1500,Toyohashi University of Technology (TUT),"2,033",10.6,14%,12 : 88,18.4–24.3,22.6,21.3,11.7,56.6,36.8
1396,1201-1500,Transilvania University of Brașov,"19,351",18.0,1%,52 : 48,18.4–24.3,15.0,10.4,34.3,37.4,29.5
1397,1201-1500,Tshwane University of Technology,"45,862",39.6,2%,53 : 47,18.4–24.3,16.2,12.5,35.8,42.0,44.6
1398,1201-1500,Tunghai University,"15,160",20.3,10%,55 : 45,18.4–24.3,16.4,12.4,24.7,41.2,41.6
1399,1201-1500,University of Tunis El Manar,"26,825",11.1,2%,70 : 30,18.4–24.3,28.8,13.7,19.5,38.2,43.7
1400,1201-1500,Tzu Chi University,"3,373",9.8,10%,62 : 38,18.4–24.3,19.8,24.2,9.4,78.0,27.2
1401,1201-1500,UNIR – International University of La Rioja,"27,135",26.7,41%,62 : 38,18.4–24.3,13.0,11.9,28.2,37.0,58.1
1402,1201-1500,Unisinos University,"9,529",18.2,0%,61 : 39,18.4–24.3,23.6,14.6,14.7,40.3,24.8
1403,1201-1500,Université Chouaïb Doukkali,"21,654",33.6,2%,55 : 45,18.4–24.3,14.4,10.3,29.9,38.5,25.4
1404,1201-1500,Universiti Malaysia Terengganu (UMT),"9,510",15.7,5%,70 : 30,18.4–24.3,17.8,16.7,27.9,40.7,41.8
1405,1201-1500,Universiti Tun Hussein Onn Malaysia (UTHM),"15,498",16.4,6%,47 : 53,18.4–24.3,19.8,15.9,22.5,37.3,39.6
1406,1201-1500,University of Valladolid,"21,780",11.2,8%,57 : 43,18.4–24.3,19.9,13.2,28.9,39.7,38.4
1407,1201-1500,Veltech University,"8,568",13.6,2%,15 : 85,18.4–24.3,16.6,8.6,46.8,37.9,22.9
1408,1201-1500,University of Venda,"11,407",27.8,1%,60 : 40,18.4–24.3,20.3,28.5,9.5,41.3,43.8
1409,1201-1500,"Vignan’s Foundation for Science, Technology and Research","7,072",11.7,1%,47 : 53,18.4–24.3,17.9,7.8,31.3,37.4,16.4
1410,1201-1500,Vilnius Gediminas Technical University (Vilnius Tech),"8,322",13.0,11%,32 : 68,18.4–24.3,18.0,14.7,32.1,43.2,47.7
1411,1201-1500,"Visvesvaraya National Institute of Technology, Nagpur","4,882",16.6,3%,22 : 78,18.4–24.3,20.8,13.5,30.0,46.9,17.0
1412,1201-1500,V.N. Karazin Kharkiv National University,"17,080",8.5,26%,55 : 45,18.4–24.3,21.5,10.5,4.6,37.1,45.5
1413,1201-1500,Warsaw University of Life Sciences – SGGW,"15,736",13.6,6%,59 : 41,18.4–24.3,16.2,11.5,28.6,42.1,28.2
1414,1201-1500,Warsaw University of Technology,"25,021",18.9,7%,34 : 66,18.4–24.3,18.4,17.6,15.8,41.0,28.6
1415,1201-1500,University of West Bohemia,"11,054",14.7,4%,54 : 46,18.4–24.3,18.5,16.0,30.7,40.3,31.6
1416,1201-1500,University of Western Macedonia,"7,891",33.6,1%,50 : 50,18.4–24.3,17.8,15.4,26.4,37.7,28.9
1417,1201-1500,Western Michigan University,"17,612",19.9,8%,52 : 48,18.4–24.3,22.7,15.2,24.7,37.3,36.0
1418,1201-1500,Wrocław University of Environmental and Life Sciences,"7,351",17.1,4%,68 : 32,18.4–24.3,16.7,12.7,23.0,39.0,26.3
1419,1201-1500,University of Wrocław,"19,501",16.4,7%,67 : 33,18.4–24.3,21.0,24.0,20.1,37.4,41.0
1420,1201-1500,Wuhan Textile University,"22,221",16.0,1%,55 : 45,18.4–24.3,13.7,10.0,33.8,38.3,18.6
1421,1201-1500,Xiangtan University,"32,981",21.9,1%,51 : 49,18.4–24.3,17.1,14.3,39.2,41.1,19.3
1422,1201-1500,Xuzhou Medical University,"13,796",20.3,3%,,18.4–24.3,14.7,14.2,25.6,37.3,18.2
1423,1201-1500,Yamagata University,"8,684",8.8,2%,34 : 66,18.4–24.3,22.3,13.4,27.4,53.5,26.8
1424,1201-1500,University of Yamanashi,"4,604",6.1,5%,30 : 70,18.4–24.3,24.6,12.3,23.0,39.4,24.3
1425,1201-1500,Yazd University,"14,448",30.3,2%,56 : 44,18.4–24.3,19.3,14.8,28.1,37.2,28.3
1426,1201-1500,Yokohama National University,"9,723",13.1,8%,29 : 71,18.4–24.3,21.7,20.4,11.5,52.7,30.8
1427,1201-1500,Yuan Ze University,"7,339",24.3,6%,43 : 57,18.4–24.3,18.2,21.7,16.7,55.8,35.8
1428,1201-1500,Yuriy Fedkovych Chernivtsi National University,"11,353",10.9,1%,56 : 44,18.4–24.3,17.6,8.9,7.1,37.0,24.8
1429,1201-1500,University of Zagreb,"65,436",16.6,4%,60 : 40,18.4–24.3,20.1,14.9,30.3,45.6,34.8
1430,1201-1500,University of Zanjan,"9,611",23.5,0%,53 : 47,18.4–24.3,15.9,12.1,31.8,40.3,23.6
1431,1201-1500,Zanjan University of Medical Sciences,"4,698",10.9,1%,56 : 44,18.4–24.3,21.9,9.5,30.4,37.7,18.0
1432,1501+,University of Abou Bekr Belkaïd Tlemcen,"40,203",20.2,1%,68 : 32,10.4–18.3,22.7,8.8,10.6,37.0,34.9
1433,1501+,Akita University,"5,016",10.5,4%,36 : 64,10.4–18.3,21.1,11.7,13.4,40.8,24.1
1434,1501+,Aksaray University,"21,377",25.7,8%,48 : 52,10.4–18.3,12.7,8.5,22.2,37.2,24.8
1435,1501+,Alexandru Ioan Cuza University,"24,847",22.1,7%,57 : 43,10.4–18.3,16.7,11.7,13.3,37.0,35.7
1436,1501+,Alzahra University,"10,128",23.6,2%,100 : 0,10.4–18.3,20.0,11.6,13.4,38.0,28.8
1437,1501+,"University of the Andes, Venezuela","24,372",11.7,2%,61 : 39,10.4–18.3,15.9,7.8,8.9,36.9,48.1
1438,1501+,Annamalai University,"15,770",11.5,1%,55 : 45,10.4–18.3,27.9,9.6,11.8,37.5,17.5
1439,1501+,Aoyama Gakuin University,"19,348",11.7,3%,50 : 50,10.4–18.3,17.0,8.5,9.7,37.5,30.6
1440,1501+,Universidad Autónoma Chapingo,"6,228",7.9,1%,45 : 55,10.4–18.3,22.6,8.4,3.0,37.0,24.3
1441,1501+,Universidad Autónoma de Ciudad Juárez,"36,107",15.4,2%,54 : 46,10.4–18.3,14.5,7.6,10.7,36.9,33.4
1442,1501+,Universidad Autónoma de Coahuila,"28,202",29.2,0%,56 : 44,10.4–18.3,12.8,8.1,14.4,37.7,25.0
1443,1501+,Universidad Autónoma del Estado de Hidalgo,"37,596",18.9,1%,57 : 43,10.4–18.3,14.7,9.0,10.7,38.5,23.7
1444,1501+,Universidad Autónoma del Estado de Mexico (UAEMex),"62,789",10.9,1%,58 : 42,10.4–18.3,17.9,8.6,5.7,37.0,24.7
1445,1501+,Universidad Autónoma del Estado de Morelos,"30,239",15.9,0%,55 : 45,10.4–18.3,17.9,7.9,6.6,37.1,24.8
1446,1501+,Universidad Autónoma de Nuevo León (UANL),"132,684",47.3,1%,50 : 50,10.4–18.3,13.1,8.7,13.3,37.2,30.5
1447,1501+,Universidad Autónoma de Querétaro,"25,399",45.3,1%,56 : 44,10.4–18.3,18.7,9.9,14.7,40.8,27.2
1448,1501+,Universidad Autónoma de Yucatán,"18,446",14.7,0%,50 : 50,10.4–18.3,15.8,10.3,12.5,46.0,30.5
1449,1501+,Autonomous University of Baja California,"66,282",22.4,3%,53 : 47,10.4–18.3,14.0,8.7,9.1,37.0,32.0
1450,1501+,Badji Mokhtar University – Annaba,"41,841",14.2,1%,63 : 37,10.4–18.3,20.0,8.1,11.3,37.1,32.7
1451,1501+,University of Baghdad,"73,873",9.4,0%,57 : 43,10.4–18.3,21.6,11.1,14.6,44.2,19.5
1452,1501+,Baku State University,"23,323",13.3,2%,66 : 34,10.4–18.3,16.5,7.8,15.1,37.2,40.5
1453,1501+,University of Basrah,"41,612",12.9,0%,58 : 42,10.4–18.3,18.6,7.8,14.5,37.0,28.8
1454,1501+,University of Béjaïa,"41,381",24.4,2%,61 : 39,10.4–18.3,14.8,8.3,13.3,36.9,43.2
1455,1501+,Bialystok University of Technology,"6,417",10.6,4%,36 : 64,10.4–18.3,20.2,14.6,9.5,37.6,22.0
1456,1501+,University of Bío-Bío,"12,343",24.8,1%,43 : 57,10.4–18.3,13.8,8.5,8.1,37.0,46.3
1457,1501+,University of Biskra,"33,049",23.1,0%,63 : 37,10.4–18.3,20.9,8.2,16.8,37.0,35.7
1458,1501+,Blida 1 University,"30,076",20.4,1%,68 : 32,10.4–18.3,18.3,8.3,18.2,37.1,35.9
1459,1501+,Bolu Abant Izzet Baysal University,"24,348",23.5,3%,55 : 45,10.4–18.3,15.6,8.5,23.2,37.1,23.0
1460,1501+,University of Brawijaya,"50,116",12.3,1%,56 : 44,10.4–18.3,19.1,9.4,9.3,38.8,21.4
1461,1501+,Burapha University,"30,800",21.8,1%,70 : 30,10.4–18.3,15.0,9.3,11.1,38.0,25.2
1462,1501+,Bursa Uludağ University,"42,787",25.3,9%,47 : 53,10.4–18.3,16.3,10.1,15.0,43.1,28.3
1463,1501+,Catholic University of Brasília,"8,865",17.8,0%,53 : 47,10.4–18.3,16.3,9.0,10.5,36.9,33.7
1464,1501+,University of Caxias do Sul,"13,554",25.8,0%,51 : 49,10.4–18.3,14.8,8.9,11.1,37.5,18.6
1465,1501+,Ceará State University,"18,436",16.6,0%,58 : 42,10.4–18.3,17.9,10.0,5.1,38.1,18.6
1466,1501+,Manisa Celal Bayar University,"40,533",22.4,2%,51 : 49,10.4–18.3,14.2,7.8,24.4,36.9,18.2
1467,1501+,Chaoyang University of Technology,"14,645",38.1,6%,55 : 45,10.4–18.3,15.0,16.1,10.5,46.1,34.3
1468,1501+,Chiba Institute of Technology,"9,895",24.3,2%,14 : 86,10.4–18.3,15.1,9.1,7.3,39.8,18.5
1469,1501+,Chinese Culture University,"23,216",23.3,5%,50 : 50,10.4–18.3,14.9,9.4,8.9,37.5,27.9
1470,1501+,Chubu University,"9,128",16.8,2%,27 : 73,10.4–18.3,16.4,10.5,13.6,39.0,30.7
1471,1501+,Chuo University,"25,954",35.3,4%,38 : 62,10.4–18.3,25.3,11.7,8.6,40.4,26.2
1472,1501+,University of Colima,"13,665",9.6,0%,54 : 46,10.4–18.3,18.3,7.7,12.1,37.1,29.2
1473,1501+,Comillas Pontifical University,"10,065",21.8,6%,55 : 45,10.4–18.3,17.6,14.5,13.8,46.0,38.3
1474,1501+,Communication University of China,"16,350",14.0,5%,,10.4–18.3,22.3,15.1,2.9,49.2,19.7
1475,1501+,Cracow University of Technology,"13,339",12.9,2%,38 : 62,10.4–18.3,17.6,9.8,21.9,41.4,21.6
1476,1501+,University of Craiova,"18,411",22.5,4%,49 : 51,10.4–18.3,16.8,10.8,11.9,37.9,21.5
1477,1501+,Cukurova University,"40,200",17.8,5%,44 : 56,10.4–18.3,17.3,9.8,18.9,39.9,23.3
1478,1501+,University of Dar es Salaam,"37,385",24.8,0%,44 : 56,10.4–18.3,13.9,9.5,16.7,37.5,47.4
1479,1501+,Dicle University,"31,401",17.3,2%,44 : 56,10.4–18.3,19.5,8.4,10.9,37.1,17.7
1480,1501+,Diponegoro University,"38,567",13.5,2%,56 : 44,10.4–18.3,22.3,11.2,12.3,47.8,28.4
1481,1501+,Dokkyo Medical University,"1,338",1.2,0%,51 : 49,10.4–18.3,24.7,8.6,14.6,39.6,16.8
1482,1501+,Doshisha University,"27,764",18.5,4%,42 : 58,10.4–18.3,17.3,10.1,5.4,37.9,30.3
1483,1501+,Dumlupinar University,"49,511",50.4,8%,43 : 57,10.4–18.3,12.0,8.9,31.0,40.1,23.4
1484,1501+,Dunarea de Jos University of Galati,"12,770",16.6,21%,59 : 41,10.4–18.3,16.1,9.0,6.3,37.0,38.5
1485,1501+,EAFIT University,"14,164",23.8,2%,44 : 56,10.4–18.3,14.3,11.0,9.8,37.6,42.6
1486,1501+,Erzincan Binali Yıldırım University,"13,773",18.7,3%,54 : 46,10.4–18.3,13.6,8.2,31.5,36.9,18.3
1487,1501+,Escuela Politécnica Nacional,"7,084",12.9,1%,29 : 71,10.4–18.3,15.8,9.4,20.3,37.3,49.0
1488,1501+,Eskişehir Osmangazi University,"30,822",19.6,3%,45 : 55,10.4–18.3,17.4,14.8,17.1,37.2,19.8
1489,1501+,Universidade do Estado de Santa Catarina,"12,404",12.9,1%,52 : 48,10.4–18.3,19.7,11.1,16.3,37.1,18.1
1490,1501+,Universidade Estadual do Norte Fluminense Darcy Ribeiro,"6,910",23.0,0%,61 : 39,10.4–18.3,22.1,12.4,11.3,40.0,29.6
1491,1501+,Universidade Estadual de Maringá,"19,442",12.6,0%,55 : 45,10.4–18.3,22.9,13.3,11.4,37.4,19.1
1492,1501+,Universidade Estadual do Oeste do Paraná (Unioeste),"10,540",9.0,0%,59 : 41,10.4–18.3,22.2,9.3,4.8,37.0,17.9
